halt_id,halt_diva,halt_kurz,halt_lang,halt_ist_aktiv
2543,2034,RAUT,"Zürich, Rautistrasse",True
2544,1041,GRUN,"Zürich, Grünaustrasse",True
2545,893,FEIC,"Zürich, Friedhof Eichbühl",True
2546,2152,SALZ,"Zürich, Salzweg",True
2547,427,BASL,"Zürich, Baslerstrasse",True
2548,1341,ITDO,"Itschnach, Dorf",True
2549,1342,ITFA,"Itschnach, Fallacher",True
2550,1519,LAUB,"Zürich, Laubegg",True
2551,3522,SUKK,"Zürich, Sukkulentensammlung",True
2552,2262,SORU,"Kilchberg ZH, Schooren",True
2553,1175,HERT,"Zürich, Hertensteinstrasse",True
2554,515,BODE,"Rüschlikon, Bodengasse",True
2556,516,BOGL,"Küsnacht ZH, Boglerenstrasse",True
2558,3186,RUEB,"Rüschlikon, Bahnhof",True
2559,3187,RSAU,"Rüschlikon, Säumerstrasse",True
2561,3445,BIBE,"Zürich, Bircher-Benner",True
2562,3449,BIRC,"Zürich, Birchstrasse",True
2563,1528,LEHE,"Zürich, Lehenstrasse",True
2564,3705,ALBD,"Zürich, Albisriederdörfli",True
2565,1354,JUGI,"Zürich, Jugendherberge",True
2566,3706,AHOS,"Zürich, Althoos",True
2567,2618,SUSE,"Zürich, Susenbergstrasse",True
2568,1356,KALB,"Zürich, Kalchbühlweg",True
2569,1182,HESL,"Küsnacht ZH, Hesligenstrasse",True
2570,1358,KANO,"Zürich, Kanonengasse",True
2571,1359,KANT,"Zürich, Kantonsschule",True
2572,2447,HARD,"Zürich, Hardturm",True
2573,1611,MAIE,"Zürich, Maienweg",True
2575,2449,SPOW,"Zürich, Sportweg",True
2576,1614,MANS,"Zürich, Manesseplatz",True
2577,1189,HIST,"Küsnacht ZH, Himmelistrasse",True
2578,1615,MARB,"Zürich, Marbachweg",True
2579,1441,PKAE,"Zürich, Pflegezentr. Käferberg",True
2580,2707,TUEF,"Zürich, Tüffenwies",True
2581,1445,KNOR,"Zürich, Krematorium Nordheim",True
2582,1446,AKRE,"Zürich, Altes Krematorium",True
2583,610,BUEH,"Küsnacht ZH, Bühlstrasse",True
2584,3450,CHAL,"Zürich, Chaletweg",True
2585,2363,SEES,"Zollikon, Seestrasse",True
2586,3451,MOTT,"Zürich, Mötteliweg",True
2587,2364,SEGA,"Zürich, Segantinistrasse",True
2588,1277,HSTR,"Zollikon, Höhestrasse",True
2589,3453,TECH,"Zürich, Technopark",True
2590,615,BURK,"Zürich, Bürkliplatz",True
2591,2366,SEID,"Zürich, Seidelhof",True
2592,443,BELV,"Rüschlikon, Belvoir",True
2593,3457,LERA,"Zürich, Lerchenrain",True
2594,1532,LEIM,"Zürich, Leimgrübelstrasse",True
2595,3458,PSCH,"Zürich, Schauenberg",True
2596,6298,SGOL,"Schlieren, Goldschlägistrasse",True
2597,6299,SAMR,"Schlieren, Am Rietpark",True
